ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,PURCHASE COUNTRY,COLLECTION_DATE,INVESTIGATION TYPE
1,Food-Spice,Turmeric powder,Lead,2.9,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
2,Food-Spice,Cumin powder,Lead,2.4,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
3,Food-Spice,Cumin seeds,Lead,2.8,ppm,UNKNOWN OR NOT STATED,INDIA,UNITED STATES,01/04/2011 00:00,C
4,Food-Spice,Masala,Lead,12,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/04/2011 00:00,C
5,Food-Candy,Tamarind Candy,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/06/2011 00:00,A
6,Food-Candy,Lucas Muecas candy,Lead,-1,ppm,Lucas Muecas,MEXICO,UNITED STATES,01/06/2011 00:00,A
7,Jewelry,Amulet (Tabeez),Lead,580000,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/13/2011 12:00:00 AM,C
8,Cosmetics,Surma (Hashmi),Lead,410000,ppm,UNKNOWN OR NOT STATED,PAKISTAN,PAKISTAN,01/19/2011 12:00:00 AM,C
9,Food-Spice,Powdered red pepper,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
10,Food-Spice,Turmeric (Haldi),Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
11,Food-Spice,Garam masala,Lead,3.2,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
12,Food-Spice,Garam masala,Lead,3.8,ppm,UNKNOWN OR NOT STATED,INDIA,INDIA,01/19/2011 12:00:00 AM,C
13,Food-Spice,Red pepper spice,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,GHANA,01/19/2011 12:00:00 AM,C
14,Food-Spice,Turmeric powder,Lead,610,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/21/2011 12:00:00 AM,C
15,Food-Spice,Chili powder,Lead,3.8,ppm,UNKNOWN OR NOT STATED,BANGLADESH,BANGLADESH,01/21/2011 12:00:00 AM,C
16,Dietary Supplement/Medications/Remedy,Pregnita (Ayurvedic),Lead,12000,ppm,Ajmera Pharmaceuticals PVT. LTD.,INDIA,INDIA,01/24/2011 12:00:00 AM,A
17,Dietary Supplement/Medications/Remedy,Calcimax 500,Lead,2.7,ppm,Meyer Vitabiotics,INDIA,INDIA,01/24/2011 12:00:00 AM,A
18,Food-Spice,Turmeric,Lead,1.5,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,UNITED STATES,01/24/2011 12:00:00 AM,A
